,Adipose Fin,Anal Fin,Body,Caudal Fin,Dorsal Fin,Eye,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
10,"[-0.37410360360348843, 1.0637090380860061, -0.42067483459274274]","[-1.3482337786387932, 7.4997842601773375, -2.2287761258087975]","[-0.28649343543990385, 1.1318806730633366, -0.29311977217125357]","[-0.3574733035748473, 0.9721799762093821, -0.50384982545575]","[-0.3694738122970187, 1.1177304039934062, -0.2705867575930463]","[-0.27924115802342114, 1.2533186640950618, -0.057274162913059666]","[-0.2615877671829975, 1.258452872060776, -0.07742269418015861]","[-0.2088070028217985, 1.210455003743934, -0.1516732872828526]","[-0.14493914737540747, 0.5800255005607639, -0.23472158527419734]",2121,cjn1hezxd8n2m0733kxm6k4vi
11,"[-0.007191205910797931, 0.9219572056922083, -0.39325862948101414]","[0.12248535402077274, 0.8689096457072566, -0.40178464278684917]","[0.14393901316769045, 0.9478064478791893, -0.23586174167661947]","[-0.007217301066204764, 0.836828541698262, -0.506784076329403]","[0.059511530581700625, 0.9868131209042208, -0.19367276322646845]","[0.23360821576071159, 1.1225616902590116, 0.047256030935843414]","[0.2356905242956621, 1.1051633656138256, 0.02554415689201714]","[0.3327845646844679, 1.0758803616247745, -0.018362752329061958]","[0.2616029185104152, 0.9676204997421071, -0.2861398119596609]",4480,cjn1hohvau4cx0710qtwwez59
12,"[-0.3076256035417163, 1.036528427800168, -0.44890515231687933]","[-0.20249596687829252, 1.0186630208719614, -0.4674036634691094]","[-0.18404177622414442, 1.0479858266326507, -0.32472677214780604]","[-0.30300863848762344, 0.94578706697952, -0.5187332508022747]","[-0.2819613428097592, 1.117213651605344, -0.3184626926903607]","[-0.1336839506800139, 1.1410307580649912, -0.10757338087510407]","[-0.11911534797586042, 1.1347183193346733, -0.12721409245942927]","[-0.08549796244084279, 1.181107937090696, -0.21077240352105972]","[-0.12212039437196524, 1.0270638928613143, -0.36771030102703134]",2121,cjn1hccvftysj0710zzvwrztr
13,"[0.24783749899201848, 0.9668156202412392, 0.20241543130615997]","[0.37293351436522826, 0.9481544256012553, 0.18792385849332133]","[0.33277723446299284, 1.0293205521856974, 0.015979355081461012]","[0.2941899021863904, 0.8271023497771854, 0.2905661148271526]","[0.23217279559273896, 1.0865109768872154, 0.005352486977073005]","[0.28742662346670456, 0.9681901174468449, -0.27403292976936955]","[0.320331719288893, 1.01504259131605, -0.2691667382669105]","[0.4292350973149082, 1.0188343617821487, -0.19901059722077466]","[0.4784769033815327, 1.0359701686868361, 0.03188467067483326]",4480,cjn1hyl3ou9hq0710lk3cc3pa
14,"[0.07364923565971881, 1.0129016574368874, 0.19393870259283547]","[0.20523426729667113, 0.9808469612892369, 0.19217707991701394]","[0.1675689557508694, 0.932496082304131, -0.008766718739860768]","[0.10497001903780918, 0.9049221863711975, 0.286450774189171]","[0.08501649514578423, 1.1143836911454095, -0.006911080178596607]","[0.17210189824084396, 0.9681302243571612, -0.27439428874643784]","[0.1805624330434503, 0.9508521186170015, -0.25690973179712806]","[0.26036981930638303, 0.9465019991437885, -0.18255735091814737]","[0.30298750127992324, 1.0385993032612881, 0.04668090353735461]",4480,cjn1hy3wyu98k0710exabkmii
15,"[-0.5428654151494974, 1.0583484810489174, -0.4331528563276059]","[-0.44134610221366205, 1.050977271067034, -0.47507425369035355]","[-0.36875800697522065, 1.0656438057847344, -0.3304388756847626]","[-0.49488838782063554, 0.8234497607610266, -0.4712985328579158]","[-0.44367716382271644, 1.1999219425533334, -0.3020213965363989]","[-0.2701505777465238, 1.2854766068878547, -0.11520809701782202]","[-0.24634208119139955, 1.2921150493640916, -0.13980510218930636]","[-0.2290070115999334, 1.2121556365541448, -0.19790146515560753]","[-0.32372146270698743, 1.2219496195538355, -0.41061188414974387]",1957,cjn1h5axi8hot0733jdjjxfej
16,"[-0.2257342659251477, 0.9616059663666982, -0.1981956467617039]","[-0.09504031854455738, 0.9446045793715083, -0.23855354172017934]","[-0.01255816788045338, 1.0832747544575951, -0.08581855791554009]","[-0.2933673827529621, 0.9188540604865609, -0.3219828088240786]","[-0.08941617108104527, 0.9962055223686612, -0.026534482633535816]","[0.17193197152446235, 1.0460263409216857, 0.16943935577938957]","[0.20792559080382444, 1.2001051153047326, 0.1681581667852606]","[0.47257443649817543, 2.375905266940822, 0.18993358345626424]","[0.08048704921039997, 0.988018471434237, -0.13835480481845583]",3949,cjn1gru0q8cne0733jiue6vtr
17,"[-0.2827805702235458, 0.7622382391297338, -0.21896529902207781]","[-0.14815275975107323, 0.7598883889500202, -0.2512638562872827]","[-0.09007158100441919, 0.846328471209161, -0.12753160835284907]","[-0.3036886881496569, 0.5916704783115488, -0.3092067581705362]","[-0.16104619215594915, 0.9395728531494351, -0.07441057650666415]","[0.12851735319408705, 1.0243051000239467, 0.1282889297363938]","[0.1498531722590873, 1.0139994044967813, 0.10233559773843182]","[0.12742250002922395, 0.9406123627544911, 0.040820861899630495]","[0.034289952167280556, 0.9539693908001153, -0.15474000506168478]",5981,cjn1jckew9kua0733uxpjz9ya
18,"[0.0495510092166668, 1.038375691835573, -0.3603227959428119]","[0.1863034528862958, 1.1228074534057293, -0.3647649346780073]","[0.06088967632780446, 1.0929100023301248, -0.1829370724537336]","[0.12107653192081974, 1.06451473574278, -0.4797252622137369]","[-0.031770348631246254, 1.0860900531355806, -0.1933912554071605]","[-0.04744185499725345, 1.1690765280642603, 0.07258872896631528]","[-0.02767323383965132, 1.179831850024836, 0.060015458200603854]","[0.05522832934505916, 1.1447994082812152, 0.024550503582907793]","[0.1932357712759369, 1.1734827784873254, -0.18942185905178038]",3164,cjn1ioyft98c9073331mdaudf
19,,"[-0.3939945708894386, 1.0451371528599112, 0.005849625440892916]","[-0.1628961452253863, 0.965537755883777, -0.10879191690872424]","[-0.5692462963299322, 1.0068438915193616, -0.05961982543382965]","[-0.2471303484054799, 0.928122808383309, -0.14350325024159502]","[0.13810109539692697, 0.8660013550789687, -0.20839542427654914]","[0.1266827043607973, 0.8675661763911073, -0.21390333043672916]","[0.13606887163028544, 0.9536769020020485, -0.12730075607192542]","[-0.17616737595934148, 1.0216126448932223, -0.022892678634958762]",4315,cjn1jtfsv9urg07334juns3cx
20,"[-0.25013427146828066, 0.8676963232064712, -0.04350707071671187]","[-0.12477082141579422, 0.8481659781223401, -0.05403434313279441]","[-0.1357577409795953, 0.899641070879087, -0.19454191209988753]","[-0.20698089177667625, 0.7817071962699396, 0.04208860767262091]","[-0.22813826559057104, 0.9618489014525736, -0.19877394159876197]","[-0.13782499649967628, 0.9402901197648511, -0.43093213271982583]","[-0.12215503605863592, 0.9484973517749218, -0.41543055595566863]","[-0.05956991406171831, 0.9529781702134529, -0.3515115648643392]","[-0.034619698584572624, 0.8326797730699713, -0.16451843497824015]",2773,cjn1jon8c9s2r0733cbylcjem
21,"[-0.12676431866920493, 0.8829082082986262, -0.03742966810259719]","[-0.007945250135857087, 0.8837128982604343, -0.03423197330510213]","[-0.030875480499382386, 0.8673129510013672, 0.08370065659309081]","[-0.11743379301493752, 0.8396679266516137, -0.13735736061281553]","[-0.09609171570182111, 0.9136808280483623, 0.11420317055125226]","[-0.04343625909993095, 0.900282145125952, 0.2854253753169711]","[-0.021036524429029417, 0.9019288651764531, 0.2740417098151122]","[0.035111564887796806, 0.9146528570048006, 0.23829818719199788]","[0.061628003277060577, 0.9149347561026621, 0.07931172941267159]",1957,cjn1gsh1ltpdu07109n3l6jsl
22,"[0.04897292427402753, 0.8828601873240892, -0.3197180675658967]","[0.16791304021690612, 0.8480058595818301, -0.3245730274711441]","[0.17241195267622214, 0.8893254147824589, -0.20069115533001433]","[0.05035885517075179, 0.6861836647573077, -0.37466262966476976]","[0.13140759414988867, 1.0309030692704562, -0.19689717016900674]","[0.24681021451540253, 1.1098597129978918, 0.026951713621794028]","[0.26321674659120464, 1.0899556516965538, 0.009639017434616894]","[0.3086471890243552, 1.0348130299064733, -0.04996064940738745]","[0.27788662578431994, 0.8964090908673897, -0.21416920086859745]",2997,cjn1g9grxtf7r0710320skso2
23,"[-0.09146757269175948, 0.6851810005596696, -0.005890092120381145]","[0.06925897555647828, 0.6769257455315241, 0.014454131726470957]","[0.03324148387089815, 0.788055497485027, -0.10432569788293906]","[-0.058805549999537965, 0.5247778518504778, 0.0974113656328679]","[-0.06543485888916448, 0.835969057817887, -0.18027728281957878]","[0.1269644929966478, 1.0348989490694611, -0.3704348261782218]","[0.16757101762715199, 1.0578386248293405, -0.3553740343574594]","[0.2102149737988685, 0.958357963172039, -0.2930362438727137]","[0.19042647556442577, 0.8421394283022634, -0.11370959438808964]",5981,cjn1jbf39uyg8071039jsu5kq
24,"[0.04793913864566036, 1.0319494288228577, -0.10782049630232067]","[0.17461818637483184, 1.0257695460548475, -0.1316042713992982]","[0.027793770522641065, 0.8485804920379615, -0.25772181567099794]","[0.16709748277414052, 1.075103837564757, -0.001686347437280771]","[-0.050584154888523934, 0.9248516886309467, -0.2462288270212923]","[-0.10294338378010978, 0.6438991760316782, -0.34827753724423344]","[-0.08540917584727445, 0.6427380268171384, -0.350409725676478]","[0.007005214787483798, 0.7081128480712487, -0.3209006174890317]","[0.14973048918088874, 0.8859996361501264, -0.2547228498778096]",3164,cjn1i3dcj8xk1073308847zgk
25,"[-0.3280775615987698, 0.7912742821040365, 0.09748815952119075]","[-0.2191500442498751, 0.7863028128806373, 0.11106566751905027]","[-0.18750212314693357, 0.7666055700150399, -0.057738407335009706]","[-0.28775884882332875, 0.6683572090739559, 0.17817335063155845]","[-0.29438237205703877, 0.8697858502845308, -0.06939302028581207]","[-0.17387826310125928, 0.7704910152908703, -0.29795674155148255]","[-0.16010531179711568, 0.7922713818887405, -0.28746564627612303]","[-0.10808129725121582, 0.8432676040377607, -0.213325652092695]","[-0.11448487677758226, 0.8403282541524634, -0.014078184857176724]",2773,cjn1j1ojlutti0710wlk7ik5q
26,"[0.041370839914406154, 0.9169842653038273, -0.07216511054519224]","[0.1859810484055487, 0.636633779154631, -0.07070649480719086]","[0.22128217706557038, 0.9609178576670668, -0.17003661277143842]","[0.011681863362203452, 0.8075747380696895, -0.020949010879419777]","[0.13500352936118348, 1.0122021549039266, -0.1939843777931624]","[0.3595581718129504, 1.0070990968302922, -0.37136666019362213]","[0.3788594505549324, 1.0565978119210582, -0.3679955476388847]","[0.43012269962698063, 0.9685963095253067, -0.29996610656146167]","[0.3046615339480366, 1.8621253667302975, -0.08654479365827682]",2121,cjn1hovvq8qw60733d5mvf287
27,"[0.02316502211548319, 0.9664559540314822, -0.14447888615606283]","[0.14332792295234006, 0.988983908944755, -0.10492015038947353]","[-0.01699313057644615, 0.8649890166887946, 0.046469849808597904]","[0.13663747895816133, 0.9851966463091311, -0.23324755462911126]","[-0.08601497620500409, 0.8628815398999918, 0.004203286351201382]","[-0.17717544089109338, 0.8640406498229084, 0.2523967915684824]","[-0.1567329524273994, 0.8629146675034884, 0.2409876242437236]","[-0.05655952641446668, 0.837166675752643, 0.22768323029740203]","[0.10693615146224655, 0.9280876790561183, 0.05693658252444414]",3164,cjn1ifhat93nx0733p1030tgp
28,"[-0.5142584363314382, 0.9126012278952284, -0.3663761773143812]","[-0.3893847630458338, 0.9156813357961521, -0.3466400318400619]","[-0.4372846335391065, 0.8757276824363197, -0.19534477734728076]","[-0.4140394597505588, 0.8274183104219999, -0.44115126702256124]","[-0.5649069970582626, 0.9168273873669605, -0.20827849258280265]","[-0.4864802085342266, 0.8844505214389556, 0.029005632417735325]","[-0.4676646529489912, 0.8998572373687667, 0.012424483839743499]","[-0.3948546044690817, 0.88263995342103, -0.06907512234285372]","[-0.3580827806589878, 0.9350486826498967, -0.23718932668795692]",2121,cjn1h5hyktv4c0710rq938mvc
29,"[-0.3065829708785847, 0.9968715143040054, -0.33055741114536186]","[-0.1717945350273736, 0.9667204671883778, -0.3837715940973154]","[-0.08367319766764326, 1.0159507831954366, -0.19428034090886154]","[-0.2931497208106223, 0.7898781464799968, -0.4395063913832821]","[-0.17549391516746188, 1.074148028567381, -0.1331065449917462]","[0.13551344005031438, 1.1220539764821065, 0.10103841679015982]","[0.14525552060094796, 1.1672683523299525, 0.08501931250241478]","[0.1953213331102982, 1.0576182049025225, 0.009399720720951858]","[0.007860791838042416, 0.996278644279722, -0.26022388523117046]",4480,cjn1iixd1uk570710t2331fzb
30,"[-0.28915566486397765, 1.3385045956039543, 0.04692215835498896]","[-0.059567513517811435, 0.6459802271588371, -0.04679863272093491]","[-0.21377611492523152, 1.3092562573923074, -0.12854479629183324]","[-0.2537379982672194, 1.4057687994292571, 0.16414151821599393]","[-0.30468397643076484, 1.3207211659602904, -0.1290919555983959]","[-0.2547083232680201, 1.1651870172700212, -0.33465077594339065]","[-0.2337769806805134, 1.1833257115302016, -0.32880715101421765]","[-0.1637929868873275, 1.2770210840920317, -0.26749030101314164]","[1.4287845510215509, -11.648769613278208, -0.44483316200504663]",2773,cjn1iofe2umlr0710yg8yyog0
31,"[-0.2617325261359341, 0.7215590444504596, 0.03866949429419504]","[-0.13467022883872523, 0.6868558777586798, 0.02383766007745525]","[-0.1424744012870974, 0.7343183135890943, -0.12244902265046344]","[-0.22347484073330987, 0.6052047433388024, 0.10489336011585589]","[-0.24786202014759112, 0.8472415384664835, -0.13095800210732253]","[-0.15052080458923178, 0.7706896212151455, -0.3705525498178206]","[-0.13393696007373665, 0.7666745887911964, -0.3502635954979197]","[-0.06969222009104849, 0.7974614222423146, -0.28703739942245565]","[-0.04633382622138154, 0.773968432127658, -0.10007901238760351]",2773,cjn1j5fdw9gzy07339oj3ak6j
32,,"[-0.02675651187574749, 0.7748112875151985, -0.0012267754281524677]","[0.015539042459137932, 0.8150345053217978, -0.10604099957488104]","[-0.16068547822288265, 0.6262286163707989, 0.07262615303958841]","[-0.056337620191600504, 0.9113190598312355, -0.14665784297767234]","[0.1266497861767866, 0.9923799863050944, -0.33779082618301054]","[0.1252880119964338, 0.9636923145095904, -0.31196582783061816]","[0.1636434052491248, 0.8887437404540529, -0.24525583678929533]","[0.1253826641995341, 0.8430310325506397, -0.08561956175049566]",3164,cjn1iierpujvb07103hujlrk5
33,"[0.14242235394968433, 0.7981902580476948, -0.3263653855800687]","[0.3077955292293315, 0.7998374641653381, -0.3337577471567278]","[0.27361174419731793, 0.8506761339072246, -0.1346460873879618]","[0.22642690879605165, 0.9257880435859817, -0.5471459397783555]","[0.1768695082612693, 0.9598825593037491, -0.1049544280031304]","[0.3188022221739615, 0.8631186661053735, 0.16889096910730045]","[0.3456032801792777, 0.8853699759752988, 0.1496950176957227]","[0.39397552472042613, 0.8817595633515761, 0.05559384429695087]","[0.4237617564180326, 0.8948442634374498, -0.17079115760034508]",5981,cjn1jw29pvafw0710fftr22av
34,"[-0.09211666557047947, 0.8832500611581454, -0.34154023362562064]","[0.019226268841845428, 0.39849249165250505, -0.1543931606638168]","[-0.008093479401390706, 0.9015607388403587, -0.1597393809324022]","[-0.06480357623966336, 0.8226637752584152, -0.42310442574389556]","[-0.10116611280672075, 0.9507498805469874, -0.1526958228124569]","[-0.05882778349101858, 0.9993671528028558, 0.10582748767938263]","[-0.04144852101302505, 1.0078141137826933, 0.0916902988765693]","[0.04379048527143147, 0.8805652642066655, 0.028238036802418123]","[-0.34646603476092774, -2.947217417443642, 0.5565974428206544]",3164,cjn1i5t498ys10733azvxw915
35,"[-0.4811189281614581, 0.848641193915729, -0.2895609049599133]","[-0.32341392006071273, 0.8311448846994618, -0.29867199596013316]","[-0.310247654349211, 0.8505313423401856, -0.10588195939890033]","[-0.4263755064596737, 0.7693307508127118, -0.40731388170538285]","[-0.4010821467940502, 0.8194644308491839, -0.0794689512766983]","[-0.2249675270827922, 0.8467680911402737, 0.17032760538431455]","[-0.21663523120684683, 0.8565295233819425, 0.15682222232436843]","[-0.1566033884140502, 0.847312997674552, 0.08714249557141768]","[-0.20933007568128684, 0.8562716167841319, -0.16291327437138675]",4480,cjn1hrpqpu5q90710o1240rr0
36,,"[1.8047777512033494, 9.935209658434358, -1.4503049915459345]","[0.08189399037725834, 1.069947708352433, -0.09899695326502857]","[-0.06646297200982379, 1.321302741784236, -0.33722965774511776]","[-0.01249361756114234, 1.0914076602973557, -0.13109658682345388]","[0.05539917791653757, 0.9643988627818701, 0.11892271521129026]","[0.07085307415423121, 0.9733842989955492, 0.10355097674578168]","[0.15002756635152922, 0.9730363078866677, 0.047579749777737414]","[0.05158637248065, 0.6065615608439553, -0.15016891661195877]",3164,cjn1iiao9950f0733tlsfxwi3
37,"[-0.2687121409719979, 0.9496435822502968, -0.3087632334746145]","[-0.14713309268831967, 0.9275535245821301, -0.33877514010638093]","[-0.07009499297615546, 0.945210315196998, -0.19883898945983383]","[-0.271822594412379, 0.7526385208231668, -0.3813289788874938]","[-0.11496433326396004, 1.0319265030428868, -0.14690496461875066]","[0.1304357413619769, 1.1050280541505788, 0.03290499264744558]","[0.13151938044655484, 1.0775835710311144, 0.009595259304305654]","[0.15714289173521412, 1.0829902525123603, -0.051125582965135155]","[0.01911202260633519, 1.023614493982638, -0.24952252611024983]",2559,cjn1jbq249kcq0733ln3h9ul1
38,"[-0.350849214383441, 0.8909260061889599, 0.05260727269698228]","[-0.22174200549131848, 0.8773397769809664, 0.06389699923614299]","[-0.2059683615025629, 0.8177722330243808, -0.11878965350418295]","[-0.32217183044454073, 0.8024921389755614, 0.15968501084436837]","[-0.2972457570038777, 0.8663188476343485, -0.12136566126180996]","[-0.19940262155550365, 0.6799977476636468, -0.3229393773075609]","[-0.18424352435669267, 0.7153715134344324, -0.32457510477795654]","[-0.11411514585542747, 0.772064744009521, -0.24805488847956314]","[-0.12022703890717544, 0.8847685497879518, -0.07419885918874469]",2997,cjn1es1tcswkg0710h3jabld6
39,,"[-0.18617058158968303, 1.1074425596151098, -0.15668300234334417]","[-0.006064886350929756, 1.131651912001802, -0.07187740966574649]","[-0.33961547008268717, 1.1568511019333738, -0.17157790391584166]","[-0.021787930358876845, 1.1620838719264943, -0.022547339188079725]","[0.26991854868107673, 1.2218288347135715, 0.05190119093441643]","[0.26437952603545667, 1.1593656792725242, 0.019925552451761194]","[0.19974831946605298, 1.0834983568270515, -0.023127307198726577]","[-0.004233688702615529, 1.1272449957810684, -0.13619881546810206]",1957,cjn1g75rp83gq07337htessjy
40,"[-0.44716901014758403, 1.2147671941378217, -0.16892614739976988]","[-0.31488946027119513, 1.2389916355200796, -0.216007624509448]","[-0.22802139741019978, 1.245608259645915, -0.03744547334302829]","[-0.47857659179035617, 1.1191641096273255, -0.28953336219233666]","[-0.31838020236446274, 1.2682118097065267, 0.020804851077703326]","[-0.05322599410951778, 1.3031704458270967, 0.24015987646423548]","[-0.04212783995217188, 1.360253259913326, 0.2215482227765184]","[-0.0028173114861861272, 1.3785630662146982, 0.1349832580723965]","[-0.15580426870476694, 1.4002804869047543, -0.1105014245848756]",3949,cjn1gzgmjtseh07105vdp1h98
41,"[-0.3653645047255683, 1.2040771610535186, -0.5025181694909254]","[-0.22533651894824067, 1.0748527015442924, -0.4900757525820138]","[-0.1981394703134662, 1.1907926197464285, -0.363129466091735]","[-0.32011806653871694, 1.0250151718834353, -0.5671278155507171]","[-0.2966415325484992, 1.2481488884783323, -0.33878194710905263]","[-0.09931499217052396, 1.319874914642179, -0.13215571393209974]","[-0.0831132512338612, 1.320469129439495, -0.1547308298722979]","[-0.05349540381082178, 1.1932063036962623, -0.2151905105641143]","[-0.11365864695065937, 1.1424792850792502, -0.4111703222842518]",2121,cjn1i87sxue4h07104dyostw7
42,"[-0.1061150939861185, 1.1708821899501696, -0.20879315082368458]","[0.07133501190833004, 1.052307357027508, -0.15726720694130852]","[-0.05920563102217607, 0.8897796244851329, 0.07522867450144359]","[0.02185802971989585, 1.061577751651785, -0.332580090126687]","[-0.19058387467299642, 1.022977813983446, 0.05484732561032811]","[-0.11850655601268328, 0.7043972150617173, 0.2983657259763349]","[-0.09869359108624076, 0.7616708227046091, 0.30209151092419995]","[-0.03694877137788788, 0.8016619434637984, 0.21197038762128373]","[0.07495572754163662, 0.9929892803900265, 0.04804763171788477]",5981,cjn1jblgu9k7y07332rvg2jds
43,"[-0.2921330210748154, 0.8740999157119584, -0.11021657535119066]","[-0.1720249652407917, 0.8957695285406451, -0.1499924420576345]","[-0.2550429982777397, 0.7781699866364533, -0.2767371286543313]","[-0.1845969195346925, 0.7720073906979151, -0.037265249815397535]","[-0.37979886631188, 0.9242613498713769, -0.28994995175296207]","[-0.3717441743853706, 0.7559151972939645, -0.48197182054356286]","[-0.34464768533439705, 0.7516147414631696, -0.46392064554228774]","[-0.25783136013129593, 0.7527363266046426, -0.4322105814068]","[-0.17770401586744747, 0.9283262214343193, -0.3105405989922256]",2559,cjn1hjd18u2n80710iujqlzkf
44,"[-0.31391251140204884, 1.0267743899172936, -0.353235417189777]","[-0.21746888402737288, 1.076291677106274, -0.3471729894284211]","[-0.29268864215522405, 1.1220982320439605, -0.2182670608346829]","[-0.24276314064855256, 1.055538282331023, -0.4608772560392816]","[-0.3919144854632041, 1.1189936223859576, -0.2213643145975315]","[-0.3222521583576139, 1.1681528967934438, 0.0041782409484416375]","[-0.2995713542565123, 1.149256764593611, -0.014988545294111272]","[-0.2460003335841887, 1.1287761076597684, -0.07177680175747375]","[-0.1923425846768261, 1.0764582663042472, -0.22833059139717368]",2121,cjn1h9asbtx400710r73k7u1m
