,Adipose Fin,Anal Fin,Caudal Fin,Dorsal Fin,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
26,"[-0.23504582556030362, -0.6282088635921536, 0.1714817451011409]","[-0.3774169651078655, -0.6439480122453015, 0.16264613083936505]","[-0.543207530800819, -1.2128052112245573, 0.6175220580502865]",,"[-0.2027582464502422, -0.5741714048503945, -0.2916702045508191]","[-0.3235279221062038, -0.5714321448171462, -0.23450840081821103]",,3760,12204
27,"[0.10626087486170367, -0.569361071485528, -0.26484809617791066]","[-0.01694159245922007, -0.5996571692756087, -0.2479541024619637]","[0.04611319435748662, -0.7104930374543854, -0.43439937802876594]",,"[0.07870636831875272, -0.6588276523697296, 0.19882582466940307]","[-0.010438786080284722, -0.6617985495201315, 0.12188834261699638]","[-0.061001391326717606, -0.6172539174180779, -0.10714292698376861]",3610,13459
28,,,"[0.577091771309768, -1.00018466478953, -0.5776187048725802]",,,,,4860,5041
29,"[0.07636199870881077, -0.7447464314966119, -0.26507436660174394]","[-0.04881590747775414, -0.7283065594694448, -0.3025103887411059]","[0.07923668773542798, -0.7737467717084426, -0.40991057117972785]","[-0.023404109493108928, -0.7932602000207891, -0.09573736607419604]","[-0.231363034906325, -0.7706980950147075, 0.13211997499768444]","[-0.2837252266160623, -0.7505285544300344, 0.018289829060119084]","[-0.1817467737139267, -0.7501569894013704, -0.18550720754783692]",2920,7465
30,,,,"[-0.2020824001192223, -0.5577080107951786, -0.08579488678191025]","[-0.2543945808167785, -0.6298381040651443, 0.23914438177435698]",,,5981,1112
31,"[-0.034713086402703604, -0.6457569018088809, 0.14959658410969745]","[-0.16930310221591752, -0.6524371150571413, 0.11038123261441898]","[-0.1083775713531294, -0.7085081031299849, 0.2931173671446386]",,"[0.08481827622451944, -0.5782756432952959, -0.29455998306239484]","[-0.05834779814209458, -0.5992903710560293, -0.2722665697709533]","[-0.17019007066083144, -0.6213437703826737, -0.06305848348291654]",3263,13131
32,,,"[0.34035841479329176, -0.8047888638461621, -0.07438935960429532]",,,,,3949,3430
33,"[0.08658235887165222, -0.5963768427030595, 0.1577668951218911]","[-0.04788466634366768, -0.6340746508347604, 0.170019005536082]","[0.09270510035592408, -0.7057742667709109, 0.3028886844094281]","[0.08931363312929794, -0.5694866540700065, -0.029887696833667692]","[0.021197423939853577, -0.5652880209587365, -0.281108246353588]","[-0.06509705942982104, -0.5493339388621249, -0.23033291649675294]","[-0.12029258373451941, -0.5821557744298962, 0.0015278465715943762]",3164,1883
34,,"[0.40780726165776215, -0.8307932963747572, -0.053063413436904495]","[0.44742288718951034, -0.7189901671594852, -0.05631168973080072]","[0.4695005607972857, -0.921585032439792, 0.10340095662845392]","[0.3066504162482595, -1.0525646164566809, 0.3338996403394716]","[0.22455739200461863, -0.9992090565316307, 0.2620929910841519]","[0.29023621343660716, -0.9140994429577682, 0.03408909276245702]",2121,3046
35,,"[1.5496558138170917, 3.6256943730050972, 1.176647816460433]",,"[-0.036205606104734736, -0.6016418239891561, -0.12071543651380374]","[-0.17057811400285633, -0.6991318318771879, 0.1552696381604057]","[-0.2576816190276977, -0.6535938703650596, 0.07311762777686658]",,4665,11093
36,,,"[0.6706747469145069, -1.2727393965158864, 0.457682377659104]",,"[0.09942348714115766, -0.7642168864911411, 0.05290420924613183]",,,4860,5097
37,,,"[0.17324740617867368, -0.48373434708830443, -0.2622391980984488]",,,,,4860,5038
38,"[-0.42298166565257717, -0.9508116427952784, 0.06393768939767189]","[-0.5462888278617094, -0.9298384313967358, 0.058687071487346365]","[-0.4732788728435713, -0.9482829242851496, 0.17984046707919626]","[-0.39879310566086373, -0.9218603629692145, -0.12304537827158808]","[-0.43404979680803457, -0.8919485944874074, -0.33137988147598507]","[-0.5111248186086526, -0.8764816727254555, -0.26836531360868726]","[-0.5767545762566997, -0.9068420157465745, -0.08385874686697031]",1957,3714
39,"[-0.10500201582536159, -0.7123215390206526, -0.10530651808612439]","[-0.24131211248120926, -0.7241366081901767, -0.08939169942541993]","[-0.1984612587032976, -0.7660558405999887, -0.17280743285862155]","[-0.052355967147677575, -0.618750551789969, 0.04672083591120435]","[-0.20543654631822153, -0.989744858955648, 0.481141970760082]","[-0.18392742466271683, -0.5344647469064405, 0.17920019642725651]","[-0.2665126233233453, -0.6574865995947091, 0.04104976430465345]",2773,1575
40,"[0.20697097461802594, -0.6258686511094017, -0.2583003140773405]","[0.058207256393211455, -0.6322364900734805, -0.28588583338608414]","[0.19668653607658576, -0.6736762532319941, -0.3936100617130675]",,"[0.05299250821342023, -0.6626209961999852, 0.22974561428448007]","[-0.04117562743197853, -0.6825139341329256, 0.15940960972897783]","[-0.0475228714428565, -0.6248400618351276, -0.13103092561039636]",5002,13907
41,,,"[-0.013962634257104062, -0.17652661108243473, -0.10676117125299964]","[-0.2202348511403851, 0.9536109863595618, 0.1685327692589825]",,,,5395,6803
42,"[0.05646455477799563, -0.4822928658793632, -0.18942701987546592]","[-0.04845285964358248, -0.4816940939003956, -0.20305422588080876]","[0.05622953553171589, -0.5080809137144338, -0.3052885820809674]","[0.02199256054047955, -0.488502353457329, -0.04697722498354901]","[-0.05581847603053124, -0.5463876630507958, 0.16926751675299775]","[-0.11944594001861646, -0.5058393390182606, 0.11420934819545064]",,1673,15447
43,,"[-0.37621992596794646, -0.7393419938281663, -0.21993494657552065]","[-0.25849017186332285, -0.8372336459597222, -0.13882935069463306]",,,,,5711,8040
44,"[0.20552145067609254, -0.5734617514326663, -0.22381406879401824]","[-1.4693577579362502, -12.430118317416776, -2.8944521167031465]","[0.2920751346224357, -0.6159044720973914, -0.3652403813533905]",,"[-0.15444100426004878, -0.6749770540663128, 0.19430654369114256]","[-0.18185529037711592, -0.6245298373683292, 0.07676979860450307]","[0.024855849254145784, -0.5895152917028097, -0.22073648647840352]",3771,12611
45,,,,,"[0.10495757488435958, -0.6069862293949415, -0.03164233504129982]",,"[0.16596702663383597, -0.6537617798959533, 0.1105665900683368]",3771,12692
46,,"[0.03905204735554576, -0.6033192609948207, -0.260323604829222]","[0.15289561677312918, -0.47704929936573964, -0.19532781447126674]","[0.04625040055677824, -0.7315815623587303, -0.1366486578204541]","[-0.14232351944809732, -0.8569241520797733, 0.04318050691205103]","[-0.1981885510283711, -0.8129354471640822, -0.009238093156754832]","[-0.11449565822763529, -0.6800079329038026, -0.19716371349881268]",2997,4057
47,,,,,"[0.2512745166023074, -0.6186872691246054, 0.18993044350055974]","[0.04830122631339204, -0.5817175024531432, 0.08629012765463072]",,5395,6652
48,,,,,"[-0.2940452093829083, -0.5040135209739763, 0.0750698588943655]",,,5240,16194
49,"[0.5067160627457322, -1.0483394263007957, 0.03872803946049892]","[0.3629949615474194, -1.0588909172343592, 0.08670485675325733]","[0.5766330196197049, -1.0519325410597398, 0.17774802741487333]","[0.34712244162021116, -1.0490759926694988, -0.15785635335307482]","[0.08284464647049289, -1.1454549574896304, -0.37617181884565687]","[0.03147054511643743, -1.0782007685331032, -0.26748696416281736]","[0.19514430830529525, -1.1495221782207894, -0.028218127611004347]",3949,3410
50,,,,,"[-0.07107337716559174, -0.6189356347194572, -0.23215696145793366]","[-0.19450235202235686, -0.6438436860505444, -0.16678734655581387]",,5240,16364
51,"[0.04865155341778924, -0.6172048368813051, -0.24878245313709696]","[-0.08875784751585863, -0.6061731647846931, -0.23691633477173746]","[0.012483953480696162, -0.6218831451461694, -0.37154635462545654]","[0.06792176205911013, -0.646629390366586, -0.03661241594748755]","[0.020962533475448575, -0.6743524560153593, 0.24929954174909613]","[-0.11019749381933155, -0.6420398269206171, 0.16158474174109913]",,3760,12383
52,,,"[0.0905547593451008, -0.8683077279121798, 0.38780045146724446]",,"[-0.20656460009803604, -0.6285333743478034, -0.29481932052326715]","[-0.28802449015811216, -0.6615796182506819, -0.20857714026874052]","[-0.24732765731989104, -0.7166405601828066, 0.0451493815641051]",5711,7897
53,"[0.2649188925881131, -0.8551154548063287, 0.10022924240108445]","[0.09596551531808986, -0.8848020866123519, 0.14913288014460865]","[0.3289239857300055, -0.9688518253075996, 0.29978258923817414]",,"[-0.11442941075156517, -0.6834062178303951, -0.36006151507159]","[-0.1819485749401907, -0.6984955318093675, -0.2698737030913331]","[-0.09610967105468235, -0.8010711781792679, -0.028134256277007653]",6585,10751
54,,"[-0.09226064466883471, -0.5805617061784837, 0.13411603616085324]","[-0.0006227653752973179, -0.8694758908446747, 0.4058189111554991]","[0.06788935056997554, -0.5325724461986167, -0.06297258788883998]","[0.019154315442788276, -0.5446575040810037, -0.31250295557014995]","[-0.0639745981372726, -0.5144328216243174, -0.2306306519071837]","[-0.13498578535502745, -0.5480950708106518, -0.032388990078016114]",2822,15915
55,,,,,"[0.24414847620879426, -0.5144007548319136, 0.15300850658749918]","[0.1359297417092469, -0.37417567786321243, 0.013335970145923283]","[0.23218213994442155, -0.551117631945442, -0.07383755789120845]",5981,1089
56,,"[-0.09080920420749582, -0.7453364951412667, 0.27801124952463147]","[0.1980710343479269, -1.4562285090370988, 0.7865417381062298]","[-0.03521152175596004, -0.7019953210895256, 0.027421490682472544]","[-0.26948126450718024, -0.6163043024139815, -0.14917484196631758]","[-0.304498105231497, -0.6865120386945801, -0.05322962581209528]","[-0.19483904591789616, -0.7023597299963596, 0.1300335989790722]",2949,10000
57,"[0.5197680574637848, -1.1159012534648822, -0.2600063559225062]","[0.39738237752632327, -1.1161419640151724, -0.21856158369777948]","[0.37860768500716774, -1.088773260573445, -0.3423810084791517]",,"[0.6392036611222277, -1.0722497820246235, 0.1796590713556422]","[0.5848376218062249, -1.1671117350796523, 0.1275393665708458]","[0.43108077750858875, -1.1754732718062677, -0.07053122525808944]",2773,1606
58,"[0.07955850707318081, -0.5739107867402231, 0.22470640960209204]",,,"[0.04398314924250932, -0.5789812064725762, 0.009828889517191424]","[-0.07125016581626042, -0.5851686553938953, -0.19610799017373357]","[-0.15385542362737936, -0.5634956570260465, -0.16258644667359143]",,2788,5927
59,"[-0.061120253104165155, -1.0029768708382654, 0.479303963552894]",,,"[-0.14520783912088311, -0.9753508198285727, 0.2706375282982093]","[-0.2867715974033166, -1.0114943423802976, 0.08307359468292437]","[-0.3165282132484843, -0.9473534876469448, 0.15381162549240954]","[-0.2971510782590434, -0.9483886595080735, 0.3512912962749223]",1957,3675
60,,,,,"[0.12083032941396732, -0.4834317378573346, -0.07660023864466502]",,"[0.571747797365722, -1.3053552091620129, 0.224894322162693]",1673,15492
61,,,"[-0.0608129871772458, -0.2987688930662113, 0.025951469400649376]",,,"[0.0218128451466087, 0.22807848088230745, -0.11137673856704278]",,2997,4107
62,,"[-0.01666183928076148, -0.8956325500404221, -0.014177452922177246]","[0.14665512158537622, -0.8296793385099015, -0.028949741359538414]","[-0.08374463724998732, -0.9516112975027899, 0.228951215034732]","[-0.48645141298958783, -1.021271134110915, 0.4798379415627886]","[-0.42013807295068206, -0.8114359153347596, 0.26676551969182155]","[-0.24678221674776712, -0.9235371878346313, 0.07190092296846191]",4480,2212
63,"[-0.04060326853126762, -0.7431972220308137, 0.12582479000537633]","[-0.2167198581478179, -0.6955855165684349, 0.1055773883675572]","[-0.08971680883635111, -0.7563827921693403, 0.2977702558228355]","[-0.01103317506532045, -0.7013173866479976, -0.14232057987906552]","[-0.11120892259534615, -0.7306181828630325, -0.4533890903821944]","[-0.18544311597104784, -0.5894654477019607, -0.3337912011304501]",,6355,14707
64,,,,"[-0.0854119569310814, -0.683528478552462, 0.04941831652688595]","[-0.19269195846241857, -0.6469482335272526, -0.20357605505644996]","[-0.29529287309771435, -0.6724635082367179, -0.12577316669260305]",,4606,9583
65,"[0.08008455395266241, -0.6308749901471826, -0.25418863050364077]","[-0.05893356272891595, -0.6195712341539109, -0.25870163028904897]","[0.05979620040603041, -0.6375340814829799, -0.3715264874676035]","[0.06276373914375066, -0.6330466278449294, -0.04672879289619586]","[-0.027883906275979684, -0.6507481647448288, 0.2340971350687017]","[-0.13654901143938508, -0.5937221377584664, 0.1301250421997118]",,3760,12358
66,"[0.07013193719753619, -0.6842675533865689, -0.19117128570492356]","[-0.06690065224474746, -0.672346903199702, -0.2037448363740352]","[0.06360230116587862, -0.6634528837572256, -0.30376386582490816]","[0.0154367742265886, -0.6924981647674516, 0.018911406066611316]","[-0.04839387742336407, -0.7725300797574802, 0.312191000090392]","[-0.08518955631382646, -0.4373972660631851, 0.09094887634621275]",,3746,11438
67,"[0.0707198547810449, -0.692537298451838, -0.33031241621593915]","[-0.04241088743414483, -0.7340846418414867, -0.3282875258220276]","[0.0400629434473109, -0.7583450698832418, -0.46507532602399415]","[0.08898753909252968, -0.7531907048617648, -0.16220050033097122]","[0.009820315576205753, -0.7512071944806118, 0.06464601391554256]","[-0.10515722353537399, -0.7500052134295951, 0.007185049232002062]",,2788,5800
68,,,"[0.44133365467299407, -0.7171708513174581, 0.22692408355898336]",,,,,2559,2618
69,,"[-0.0016626276976189082, 0.32697887564512157, -0.00838395689720434]",,"[0.021689372998895045, -0.6443260169844763, -0.25011741943410026]","[0.30932615173387945, -1.029060448918115, 0.082905600646886]",,"[-0.1463274036308646, -0.6691334920705861, -0.22429596924788925]",5395,6791
70,,,"[0.2421043017411984, -0.4058732109586103, -0.12107385777616131]",,,,,3771,12684
71,"[0.26592078106377404, -0.8167252166521614, 0.07074463058050774]","[0.1915720520211473, -0.8124139596873019, 0.17487967306439015]","[0.26807446607294155, -0.8195706328358626, 0.22273598703746106]",,"[-0.04272101350617845, -0.7022743744765731, -0.40851461058154837]","[-0.1070545040831328, -0.6328783052378189, -0.2978359077838826]","[-0.05928285687014657, -0.7174402240358235, -0.08235113009983143]",6585,10782
72,,"[0.13072178854667807, -0.9832383322835486, 0.41219371173238395]","[0.22829588801617529, -1.3317417877361035, 0.7082625499019012]","[0.2770818839776131, -1.0212667254290562, 0.2419360897626949]","[0.14840063079001176, -1.028936915783906, 0.018736076583267425]","[0.09027140676646975, -1.022957515625686, 0.09128058895426937]","[0.06385387796785083, -0.9796021825736566, 0.27885787100963993]",2121,3022
73,,,"[0.38092088114309736, -1.0561887154860812, -0.04878836370117247]",,"[-0.041682421245345005, -0.5308637994064069, -0.19283888774654323]",,"[0.01354799316679894, -0.7472652386393536, -0.04155826638996981]",3621,6288
74,"[-0.1118347066827446, -0.5573989399359087, 0.15770946112904538]","[-0.24538933559280066, -0.5309703133051177, 0.1400815681068101]",,"[-0.08339509558568305, -0.5220091427574951, -0.025290384440710478]","[-0.1571799665304425, -0.5228227881015666, -0.24347485575333966]","[-0.2483150241604859, -0.4962768460556399, -0.19494236737374654]","[-0.27573740074161196, -0.518418472297164, -0.011411367340395433]",2748,4745
75,,"[0.015083817435468218, -0.47927102815065015, -0.009069519519493955]","[0.12848138869761927, -0.295063171509062, -0.0924183327905963]",,,,,4592,5558
76,,,"[0.02766051645177749, -0.926208206995822, 0.38762368515322165]",,"[-0.48885430652262196, -0.8510275687456781, -0.396956099553797]",,"[-0.4118476728612511, -0.8095109626382048, 0.06678290359391192]",5711,7921
77,,"[0.198978627640121, -0.7065224590741623, 0.10852078298519158]","[0.3884521918949662, -0.754872896512154, 0.25066273282374074]","[0.2645557679180361, -0.7662814317258873, -0.13346925628937284]","[0.06936037426992192, -0.6746812526801479, -0.3897532742374736]","[0.011193022312014824, -0.6105834859064878, -0.26694379556721365]",,4592,5433
78,,"[-0.2695444159445076, -0.5270648449862154, -0.1700390083077767]","[-0.2060632107625135, -0.560793192247848, -0.31676071900789343]","[-0.11753004541750643, -0.5138433040175673, -0.2104376432429323]",,,,5981,1109
79,"[-0.007700484031593777, -0.7474656653094014, 0.08265856834386912]",,"[-0.05044098634276562, -0.7885713545464698, 0.25169205683376544]","[-0.05909196080910364, -0.7086533843288707, -0.15674754626082102]","[-0.21028267469223658, -0.829946513113502, -0.4806870942852497]","[-0.24796839080488192, -0.6608631859628458, -0.31723660070309895]","[-0.2741139299252851, -0.7459743781769675, -0.09689930122375731]",4606,9551
80,,,"[0.47840459666089924, -0.7747961876280743, -0.32691774151690056]",,,,,5395,6855
81,"[0.08484456505661589, -0.6591997109081387, 0.18765327993975953]","[-0.059006080585408516, -0.668686181329495, 0.16852185955675805]","[0.058077533624670115, -0.9397569143314536, 0.45063333198794087]",,"[0.09884377620180891, -0.5951814462286096, -0.26909925211276503]",,"[-0.10570880341781116, -0.6410281504562568, -0.00880143407488847]",3263,13165
82,,,,,"[0.06714991328164287, -0.5978401271968549, -0.2926769754764969]","[-0.013146324839801148, -0.5641498630395368, -0.26827995993554593]","[0.1301781886191572, -0.5218881294671126, -0.11122512409465549]",2748,4739
83,,,"[0.3476381033840499, -0.6589321683248249, 0.13438391143699022]",,"[0.02669716627430658, -0.5981085225017818, -0.09734955296133029]","[0.057435666065590155, -0.575801231346163, -0.010251230922394562]",,4315,731
84,"[0.1612661295303174, -0.5852135779888981, 0.07327360032002925]","[0.029156455580245273, -0.591603337445586, 0.06424078284308034]","[0.11291772337469869, -0.5951356406500273, 0.2089993431563651]","[0.1531670679954604, -0.5555499967954514, -0.14058412558612984]","[0.06616068594594196, -0.56463343445837, -0.334606691366875]","[0.00825746264044086, -0.5566200082050905, -0.29313706949040785]",,4124,8793
85,,,"[-0.06910121364200178, -0.17547687188553987, -0.02929786473169567]",,,,,3164,1959
86,"[0.047569059423164604, -0.8441652148936171, 0.01335251307290196]","[-0.11265507523693188, -0.8020770360366872, -0.006900522509572778]","[-0.036481437987956666, -0.8672945591440229, 0.144827591784591]",,"[-0.025987090600745683, -1.0569058527346102, -0.6426797575292568]",,"[-0.14972869264513106, -0.715102128226402, -0.17875348747268482]",6585,10700
87,"[-0.13277142313793835, -0.6273002450104288, -0.17224771798528513]","[-0.2795343980246996, -0.6265377628832298, -0.20360971993396737]","[-0.08899277265691724, -0.6502178742940399, -0.2829929008487821]","[-0.2868054828982669, -0.6108380870641607, 0.03523622197184632]",,,,5002,13863
88,"[0.03596715209316765, -0.7567227600827895, -0.13521649266660757]","[-0.07830332561542468, -0.7579368809096407, -0.17523790394608812]","[0.04682619284207996, -0.7637821628500449, -0.2497945436367565]","[-0.06863309329024649, -0.7679451920190637, 0.025402991350663612]","[-0.2701736015529368, -0.7514680577198772, 0.22543398176890986]","[-0.3369745340625525, -0.7889239594837404, 0.1310744393092314]","[-0.21609775478640697, -0.7893379520394356, -0.0681398169752231]",2920,7565
89,,"[-0.30716189837021013, -0.528181678216726, -0.3313603853681469]",,"[-0.06630188958832632, -0.4617115269872333, -0.16088031636687294]","[-0.03525192540391824, -0.40960955961544593, 0.07567731567385765]","[-0.12980333792087434, -0.3862830358113145, 0.019887866872062974]","[-0.3031553685017015, -0.49226511026597, -0.14161170130513104]",3164,1910
